00007FFF 00000A0A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000004 00000001 00000002 
00007FFF 00000A0B 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000005 00000001 00000002 
00007FFF 00000A0C 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000007 00000001 00000002 
00007FFF 00000A0C 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000000 00000000 00000001 00000001 00000001 00000001 00000002 
00007FFF 00000A0E 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A0F 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 00000004 00000001 00000002 
00007FFF 00000A11 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A11 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A12 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000004 00000001 00000002 
00007FFF 00000A13 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A14 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A15 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A15 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 00000001 00000001 00000002 
00007FFF 00000A16 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A17 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A17 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A17 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A19 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A19 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000000 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000000 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000000 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000000 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000002 00000001 00000002 
00007FFF 00000A1C 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000003 00000001 00000002 
00007FFF 00000A1A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A19 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000008 00000001 00000002 
00007FFF 00000A17 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 0000000B 00000001 00000002 
00007FFF 00000A16 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000010 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A15 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 0000000A 00000001 00000002 
00007FFF 00000A15 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 0000000C 00000000 00000001 00000001 0000000A 00000001 00000002 
00007FFF 00000A14 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A12 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000010 00000001 00000002 
00007FFF 00000A11 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000004 00000001 00000002 
00007FFF 00000A10 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A0E 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 0000000B 00000001 00000002 
00007FFF 00000A0C 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 0000000A 00000001 00000002 
00007FFF 00000A0A 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A08 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A08 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 00000A08 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000009 00000000 00000001 00000001 00000006 00000001 00000002 
00007FFF 00000A05 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 0000000A 00000001 00000002 
00007FFF 00000A05 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000008 00000001 00000002 
00007FFF 00000A04 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000008 00000001 00000002 
00007FFF 00000A03 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 0000000A 00000001 00000002 
00007FFF 00000A01 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 000009FF 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000006 00000000 00000001 00000001 00000009 00000001 00000002 
00007FFF 000009FE 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000007 00000001 00000002 
00007FFF 000009FE 00000FF4 00000000 0000618B 0000004D 000006FD 000023F2 00000000 00000002 00000003 00000000 00000001 00000001 00000007 00000001 00000002 
